"Story","Title","Result","Date","Stability","Duration (s)"
"Posts","POST - As an admin I shouldn't be able to create new category posts with invalid url","SUCCESS","2023-05-31T10:14:57.5718283+07:00[Asia/Jakarta]","0.0","0.17"
"Posts","GET - As an admin I have be able to see posts all category number 1","SUCCESS","2023-05-31T10:14:58.0899718+07:00[Asia/Jakarta]","0.0","0.13"
"Posts","GET - As an admin I shouldn't be able to see all  posts with invalid url","SUCCESS","2023-05-31T10:14:58.2339752+07:00[Asia/Jakarta]","0.0","0.12"
"Posts","DELETE - As admin I have be able to delete category existing posts","SUCCESS","2023-05-31T10:14:58.3630164+07:00[Asia/Jakarta]","0.0","0.15"
"Posts","POST - As an admin I shouldn't be able to create new posts rating with invalid url","SUCCESS","2023-05-31T10:14:58.7963016+07:00[Asia/Jakarta]","0.0","0.11"
"Posts","GET - As an admin I shouldn't be able to see posts rating with invalid url","SUCCESS","2023-05-31T10:14:59.0545366+07:00[Asia/Jakarta]","0.0","0.14"
"Posts","POST - As an admin I have be able to create new posts comment","SUCCESS","2023-05-31T10:14:59.2044788+07:00[Asia/Jakarta]","0.0","0.12"
"Posts","POST - As an admin I shouldn't be able to create new posts commant with invalid url","SUCCESS","2023-05-31T10:14:59.3304762+07:00[Asia/Jakarta]","0.0","0.09"
"Posts","GET - As an admin I have be able to see commant posts number 1","SUCCESS","2023-05-31T10:14:59.4288758+07:00[Asia/Jakarta]","0.0","0.1"
"Posts","GET - As an admin I shouldn't be able to see commant posts with invalid url","SUCCESS","2023-05-31T10:14:59.5298464+07:00[Asia/Jakarta]","0.0","0.08"
"Posts","POST - As an admin I shouldn't be able to create new user account posts with invalid url","SUCCESS","2023-05-31T10:14:59.6388578+07:00[Asia/Jakarta]","0.0","0.11"
"Posts","GET - As an admin I have be able to see posts number 1","SUCCESS","2023-05-31T10:14:59.755955+07:00[Asia/Jakarta]","0.0","0.25"
"Posts","GET - As an admin I shouldn't be able to see posts with invalid url","SUCCESS","2023-05-31T10:15:00.0112492+07:00[Asia/Jakarta]","0.0","0.14"
"Posts","POST - As an admin I have be able to create new posts","SUCCESS","2023-05-31T10:15:00.1589856+07:00[Asia/Jakarta]","0.0","0.25"
"Posts","POST - As an admin I shouldn't be able to create new posts with invalid url","SUCCESS","2023-05-31T10:15:00.4184121+07:00[Asia/Jakarta]","0.0","0.09"
"Posts","DELETE - As admin I have be able to delete existing posts","SUCCESS","2023-05-31T10:15:00.5086486+07:00[Asia/Jakarta]","0.0","0.11"
"Posts","DELETE - As admin I shouldn't be able to delete without input which posts","SUCCESS","2023-05-31T10:15:00.6230292+07:00[Asia/Jakarta]","0.0","0.09"
